INSTITUTION_ID,ENTITY_CD,ENTITY_NAME,YEAR,SUBJECT,SUBGROUP_NAME,TESTED,NUM_LEVEL1,PER_LEVEL1,NUM_LEVEL2,PER_LEVEL2,NUM_LEVEL3,PER_LEVEL3,NUM_LEVEL4,PER_LEVEL4,NUM_LEVEL5,PER_LEVEL5,NUM_PROF,PER_PROF,TOTAL_EXEMPT,NUM_EXEMPT_NTEST,PCT_EXEMPT_NTEST,NUM_EXEMPT_TEST,PCT_EXEMPT_TEST,ASSMNT_FLAG
800000051839,151401040000,SCHROON LAKE CSD,2021,Regents Phy Set/Chemistry,Economically Disadvantaged,0,0,,0,,0,,0,,0,,0,,3,3,100,0,00,Y
800000051839,151401040000,SCHROON LAKE CSD,2021,Regents Phy Set/Earth Sci,Economically Disadvantaged,12,1,08,6,50,4,33,1,08,0,00,5,42,12,3,25,9,75,
800000051839,151401040000,SCHROON LAKE CSD,2021,Regents US History&Gov't,Economically Disadvantaged,0,0,,0,,0,,0,,0,,0,,8,8,100,0,00,Y
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core Algebra I,Male,3,s,s,s,s,s,s,s,s,s,s,s,s,11,8,73,3,27,
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core Algebra II,Male,0,0,,0,,0,,0,,0,,0,,1,1,100,0,00,Y
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core English Language Art,Male,8,s,s,s,s,s,s,s,s,s,s,s,s,31,23,74,8,26,
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core Geometry,Male,0,0,,0,,0,,0,,0,,0,,4,4,100,0,00,Y
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Living Environment,Male,14,4,29,3,21,6,43,1,07,0,00,7,50,31,19,61,12,39,
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Phy Set/Earth Sci,Male,5,1,20,0,00,3,60,1,20,0,00,4,80,22,17,77,5,23,
800000051823,151501060000,TICONDEROGA CSD,2021,Regents US History&Gov't,Male,0,0,,0,,0,,0,,0,,0,,35,35,100,0,00,Y
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core Algebra I,Not Homeless,18,s,s,s,s,s,s,s,s,s,s,s,s,33,16,48,17,52,
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core Algebra II,Not Homeless,0,0,,0,,0,,0,,0,,0,,1,1,100,0,00,Y
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core English Language Art,Not Homeless,12,5,42,2,17,3,25,0,00,2,17,5,42,53,42,79,11,21,
800000051823,151501060000,TICONDEROGA CSD,2021,Regents Common Core Geometry,Not Homeless,0,0,,0,,0,,0,,0,,0,,13,13,100,0,00,Y
800000081568,111111111111,All Public Schools,2021,Regents Phy Set/Physics,Migrant,0,0,,0,,0,,0,,0,,0,,11,11,100,0,00,Y
800000081568,111111111111,All Public Schools,2021,Regents Phy Set/Earth Sci,Migrant,14,8,57,3,21,3,21,0,00,0,00,3,21,47,36,77,11,23,
800000081568,111111111111,All Public Schools,2021,Regents Phy Set/Chemistry,Migrant,0,0,,0,,0,,0,,0,,0,,19,19,100,0,00,Y
800000081568,111111111111,All Public Schools,2021,Regents Living Environment,Migrant,32,18,56,7,22,7,22,0,00,0,00,7,22,94,68,72,26,28,
800000081568,111111111111,All Public Schools,2021,Regents Common Core English Language Art,Migrant,23,6,26,4,17,7,30,5,22,1,04,13,57,77,57,74,20,26,
800000081568,111111111111,All Public Schools,2021,Regents Common Core Algebra I,Migrant,32,8,25,7,22,17,53,0,00,0,00,17,53,101,78,77,23,23,
800000081568,111111111111,All Public Schools,2021,Regents Common Core Geometry,Migrant,0,0,,0,,0,,0,,0,,0,,29,29,100,0,00,Y
